GEOID102012	SECTION82012	WHITE2012	INCOME2012	winningparty	winningpercentage
42101009400	217	0.00844301	19433	LIB	0.21875
42101013900	61	0.089076136	15542	GRN	0.149362477
42101014000	39	0.342682927	31684	REP	0.25501771
42101014100	181	0.194144838	19808	REP	0.242331288
42101014400	106	0.547127896	34091	DEM	0.371369295
42101014500	88	0.112913288	14286	DEM	0.33447099
42101015200	137	0.067791216	15394	DEM	0.224257738
42101015300	48	0.48452381	10375	GRN	0.181595521
42101020200	71	0.042673422	21068	DEM	0.217927171
42101020500	267	0.026679842	20286	LIB	0.570247934
42101001400	128	0.627727273	55273	DEM	0.15942029
42101002400	34	0.816297355	43462	DEM	0.138857908
42101002900	18	0.82406273	44524	REP	0.210304601
42101010200	126	0.003738953	16622	DEM	0.321428571
42101010300	42	0.002796644	27321	GRN	0.166666667
42101011100	62	0.019208716	18489	REP	0.175845044
42101011400	162	0.008302583	31716	DEM	0.197530864
42101016000	5	0.906105263	42994	REP	0.221494102
42101016300	83	0.266151298	12232	REP	0.141471642
42101016400	94	0.153666808	13364	GRN	0.130761352
42101016800	37	0.023576097	29375	DEM	0.116575973
42101024200	26	0.123167849	28234	LIB	0.235555556
42101024500	204	0.062045836	30446	DEM	0.130461923
42101025200	139	0.062714231	34281	LIB	0.130630631
42101033600	25	0.746723686	52091	LIB	0.19206167
42101006500	76	0.022386484	25833	REP	0.125678821
42101034501	184	0.666842244	25650	GRN	0.469635628
42101034502	16	0.642107388	40631	LIB	0.229677168
42101000902	440	0.714406422	35425	LIB	0.282340862
42101020101	51	0.010371869	25034	LIB	0.262815297
42101019501	4	0.212078978	13400	GRN	0.095852535
42101000200	113	0.351418616	49928	LIB	0.265625
42101000300	154	0.739526931	71250	LIB	0.208056662
42101008000	65	0.112816141	30797	LIB	0.142662859
42101017601	113	0.304155444	12039	LIB	0.211285008
42101008301	6	0.034158643	25846	DEM	0.112225705
42101009100	451	0.367936925	15119	GRN	0.251133273
42101009200	20	0.12695257	22264	DEM	0.127246585
42101012100	88	0.201856148	34837	REP	0.221030604
42101012500	213	0.655714286	52182	DEM	0.138491547
42101013100	95	0.17675051	29458	REP	0.394395079
42101013200	193	0.083769634	18607	DEM	0.210315186
42101017300	110	0.011818968	20036	LIB	0.134269846
42101018800	13	0.406638503	23237	LIB	0.113722268
42101033701	8	0.822350754	26643	DEM	0.213984836
42101027901	41	0.006950123	31818	LIB	0.156329114
42101008802	47	0.669866162	10584	REP	0.184791844
42101008102	28	0.0019516	31763	DEM	0.161981729
42101008602	102	0.159571113	29472	REP	0.162679426
42101008801	23	0.631540162	20543	DEM	0.316067653
42101012201	159	0.435249307	14939	DEM	0.243143813
42101008601	11	0.462457338	37449	LIB	0.104291647
42101027700	86	0.029735234	25101	DEM	0.62
42101035900	274	0.791626284	48702	GRN	0.248712871
42101036000	79	0.634378302	49417	DEM	0.323529412
