GEOID102016	SECTION82016	WHITE2016	INCOME2016	WINNERPARTY	WINNERPERCENTAGE
42101021700	0	0.914041041	72120	DEM	0.521190893
42101008601	10	0.530562347	56705	DEM	0.648341232
42101008301	17	0.01814346	39913	DEM	0.7380509
42101016000	23	0.885113992	59879	DEM	0.566921899
42101018800	38	0.436912311	30102	DEM	0.878450762
42101028200	47	0.071810542	36865	DEM	1.026752274
42101034502	71	0.66904213	47243	DEM	0.784239359
42101033600	74	0.730784927	57638	DEM	0.882575758
42101013402	84	0.842562432	96756	DEM	1.310737852
42101001500	91	0.660258651	97431	DEM	1.101660795
42101015102	108	0.010830325	23642	DEM	0.510891591
42101016800	109	0.038812785	34795	DEM	0.835227273
42101024600	126	0.134913112	37240	DEM	0.772459499
42101020101	160	0.008188332	33871	DEM	1.582270795
42101010900	166	0.172552167	32611	DEM	1.153358682
42101013900	177	0.111659469	29468	DEM	0.976138829
42101037600	177	0.468462084	59497	REP	0.444043321
42101011100	180	0.055147059	28601	DEM	0.80530303
42101019000	183	0.328217386	35010	DEM	1.304973038
42101010500	210	0.053745928	30536	DEM	0.834890966
42101024200	210	0.110257168	38309	DEM	0.55780197
42101008802	210	0.612701642	23972	DEM	0.789224393
42101016300	211	0.294907666	23978	DEM	0.492214967
42101015300	218	0.532285369	25577	DEM	0.434904602
42101006500	222	0.013878744	33981	DEM	0.759799833
42101035500	231	0.79078315	68663	DEM	1.007648184
42101012100	261	0.220687332	42905	DEM	0.764650284
42101015200	269	0.030391484	23543	DEM	0.724705882
42101008000	276	0.156937279	42988	DEM	0.667952427
42101013100	278	0.237265416	52712	DEM	0.845120226
42101016400	295	0.169476681	27107	DEM	0.852022059
42101000300	299	0.795888399	118015	DEM	1.138888889
42101013200	299	0.120481928	34512	DEM	1.142682927
42101014400	310	0.533333333	55847	DEM	1.145214521
42101019501	313	0.398978071	18735	DEM	0.910983863
42101020200	314	0.061541738	33044	DEM	1.578608766
42101017300	323	0.038413492	34986	DEM	1.030927835
42101006000	327	0.192402973	45439	DEM	0.395747599
42101000200	330	0.390819391	97075	DEM	0.685393258
42101017601	344	0.287061549	30616	DEM	0.76929982
42101005600	357	0.074672048	33776	#N/A	#N/A
42101008602	361	0.167253521	41229	DEM	0.807017544
42101014000	377	0.245918367	34393	DEM	0.891623037
42101014500	388	0.11117717	35798	DEM	1.150402865
42101001101	402	0.880988249	100297	DEM	0.624332978
42101001400	419	0.67492191	97694	DEM	0.94160105
42101023900	439	0.283932502	37802	DEM	1.171658986
42101025200	453	0.072826582	35610	DEM	0.76739427
42101012203	467	0.449163449	38326	#N/A	#N/A
42101011400	474	0.013515358	50575	DEM	0.907172996
42101000401	520	0.58674189	78971	DEM	1.068669528
42101034501	541	0.686908517	36536	DEM	0.625109745
42101010200	554	0	25773	DEM	0.717305152
42101024500	596	0.075761661	34172	DEM	0.953646477
42101033701	599	0.801261227	39352	DEM	0.767248908
42101012500	624	0.822369668	113311	DEM	1.28342246
42101009400	674	0.013583138	30348	DEM	1.17978459
42101014100	776	0.226660474	39222	DEM	1.083575581
42101020500	827	0.072458544	27418	DEM	1.525214082
42101012201	902	0.328476402	34926	DEM	1.151351351
42101035900	909	0.832815534	70216	DEM	1.098765432
42101027700	1004	0.031408506	40251	DEM	0.988188976
42101009100	1043	0.305652477	33854	DEM	0.944919278
42101000902	1482	0.729821902	117778	DEM	1.123493976
